Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T160	Gymnodinium hyalinum	T141	species	heterotypic synonym	Lebour	1925			
T161	Gymnodinium	T285	genus						
T162	Cyanobacteria	T163	phylum						
T163	Bacteria		kingdom						
T164	Tetrodinium chiastosporum	T049	species	synonym					
T165	Gymnodinium hippocastanum	T049	species	synonym					
T166	Katodinium dorsalisulcum	T076	species	homotypic synonym	"Hulbert, McLaughlin & Zahl"	1960			
T167	Gymnodinium lunula	T161	species		Schütt	1895			
T168	Pyrocystis lunula	T167	species	homotypic synonym	Schütt	1896			
T169	Diplodinium lunula	T167	species	homotypic synonym	Klebs	1912			
T170	Dissodinium lunula	T167	species	homotypic synonym	Pascher	1916			
T171	Gymnodinium maguelonnense	T161	species		Biecheler	1939			
T172	Gymnodinium marinum	T161	species		Saville-Kent	1880/81			
T346	Peridinium monas	T172	species	homotypic synonym	Ehrenberg	1840			
T173	Gymnodinium marylandicum	T161	species		Thompson	1947			
T174	Gymnodinium meervalli	T161	species		Redeke	1919			
T175	Gymnodinium microreticulatum	T161	species		Bolch & Hallegraeff	1999			
T176	Gymnodinium minor	T161	species		Lebour	1917			
T347	Gymnodinium minus	T176	species	lexical variant					
T177	Gymnodinium minutulum	T161	species		Larsen	1994			
T178	Gymnodinium mitratum	T161	species		Schiller	1933			
T348	Gymnodinium eurytopum	T178	species	heterotypic synonym	Skuja	1948			
T349	Gymnodinium simile	T178	species	heterotypic synonym	Skuja	1956			
T179	Gymnodinium modestum	T161	species		Balech	1976			
T350	Gymnodinium baccatum	T179	species	heterotypic synonym	Hada	1970			
T180	Gymnodinium multilineatum	T161	species		Kofoid & Swezy	1921			
T181	Gymnodinium multistriatum	T161	species		Kofoid & Swezy	1921			
T182	Gymnodinium myriopyrenoides	T283	species	synonym	"Yamaguchi, Nakayama, Kai & Inouye"	2011			
T183	Gymnodinium najadeum	T161	species		Schiller	1928			
T184	Gymnodinium nanum	T161	species		Schiller	1928			
T351	Gymnodinium nannum	T184	species	lexical variant					
T185	Gymnodinium neapolitanum	T161	species		Schiller	1928			
T186	Gymnodinium nolleri	T161	species		Ellegaard & Moestrup	1998			
T187	Gymnodinium oceanicum	T161	species		Hasle	1960			
T352	Gymnodinium aceanicum	T187	species	lexical variant					
T188	Gymnodinium ochraceum	T161	species		Kofoid	1931			
T189	Gymnodinium octo	T161	species		Larsen	1994			
T190	Gymnodinium olivaceum	T161	species		Skvortzov	1968			
T191	Gymnodinium ostenfeldi	T161	species		Schiller	1928			
T353	Gymnodinium ostenfeldii	T191	species	lexical variant					
T192	Gymnodinium ovulum	T161	species		Kofoid & Swezy	1921			
T193	Gymnodinium pachydermatum	T161	species		Kofoid & Swezy	1921			
T194	Gymnodinium pallidum	T161	species		Skuja	1939			
T195	Gymnodinium palustriforme	T161	species		Hansen & Flaim	2007			
T196	Gymnodinium paradoxiforme	T161	species		Schiller	1957			
T197	Gymnodinium paradoxum	T161	species		Schilling	1891			
